base_price,discounted_price,product_name,category
"10,13","8,61",Baies d'Aronia séchées bio 400gr,"Santé & Bien-être,Résistance et vitalité"
,"11,29",Ptit Dej' énergie poudre Bio - Pot : 300 G,"Santé & Bien-être,Résistance et vitalité,Energie, Vitalité, Tonus"
"12,89","11,60",Açaï cru 50g,"Santé & Bien-être,Résistance et vitalité"
,"10,99",Cranberries AB Canneberges - 400g,"Epicerie,Fruits secs et purées,Fruits séchés bio"
"13,99","12,59",Caroube du Pérou crue 250g,"Epicerie,Fruits secs et purées,Purées de fruits secs"
"5,79","4,92",Poudre d'Agave 200Gr,"Epicerie,Epicerie sucrée,Edulcorants naturels"
,"13,95",Melange Petit Dejeuner - Breakfast 250 Gr,"Santé & Bien-être,Résistance et vitalité,Energie, Vitalité, Tonus"
"10,25","8,71",Mélange superfruits Pep's bio - 250 g,"Epicerie,Fruits secs et purées,Fruits secs à coques bio"
,"4,95",Omega 3 Mix Bio - 250g,"Santé & Bien-être,Compléments alimentaires"
"17,24","15,52",Spiruline en Paillettes - Sachet de 90g,"Santé & Bien-être,Résistance et vitalité,Spiruline"
,"9,99",Mulberries AB - 400g,"Epicerie,Fruits secs et purées,Fruits séchés bio"
,"16,39",Melange Vitalite - Vitality 250 Gr,"Santé & Bien-être,Résistance et vitalité,Energie, Vitalité, Tonus"
,"2,91",Pur Jus de Myrtille Bio 200ml,"Boissons,Jus de fruits bio"
"8,95","6,27",Graines de Chia AB - 300g,"Epicerie,Céréales, graines, pâtes, riz,Graines oléagineuses"
,"5,99",Jus de fraise bio 700ml,"Boissons,Jus de fruits bio"
,"2,19",Jus de Cerise Bio 200 ml,"Boissons,Jus de fruits bio"
,"2,80",Jus de fraise bio 200ml,"Boissons,Jus de fruits bio"
,"12,95",Poudre Chia Chanvre bio - Pot de 200 g,"Epicerie,Céréales, graines, pâtes, riz,Graines oléagineuses"
"6,12","4,04",Jus de pastèque Bio 700ml,"Boissons,Jus de fruits bio"
,"1,58",Bière sans alcool Bio 0.5% 33cl,"Boissons,Bières Bio"
,"4,95",Bière de Vézelay Stout 50cl,"Boissons,Bières Bio"
,"2,12",Bière sans gluten Bio 33cl,"Boissons,Bières Bio"
,"2,07",Boisson bio au malt sans alcool - 33 cl,"Boissons,Bières Bio"
,"2,08",Bière 0% alcool Pur Malt Spelty 33cL,"Boissons,Bières Bio"
,"34,99",Coffret de 8 bières artisanales de la Loire,"Boissons,Bières Bio"
,"29,90",Box 6 Bières Bio sans gluten,"Boissons,Bières Bio"
,"29,90",Box 6 Bières Bio du Royaume Uni,"Boissons,Bières Bio"
,"29,90",Box 6 Bières Bio de France,"Boissons,Bières Bio"
,"29,90",Box 6 Bières Bio Belge,"Boissons,Bières Bio"
,"8,95",Bière blanche bio Jade 6x25cl,"Boissons,Bières Bio"
"12,99","11,69",Pack Découverte Bières Bio 6x33cl,"Boissons,Bières Bio"
,"4,46",Bière blonde Felibrée Bio 75cl,"Boissons,Bières Bio"
,"4,46",Bière blanche Dame blanche Bio 75cl,"Boissons,Bières Bio"
,"4,46",Bière ambrée Korlène Bio 75cl,"Boissons,Bières Bio"
,"8,80",Bière ambrée bio Jade 6x25cl,"Boissons,Bières Bio"
,"4,46",Bière blanche Love and flowers Bio 75cl,"Boissons,Bières Bio"
,"4,50",Bière BS Ambrée Bio 75cl,"Boissons,Bières Bio"
,"4,46",Bière de Noël ambrée 75cl 5.6% alc,"Boissons,Bières Bio"
,"3,20",Bière Blonde Apach bio 33cl 5.5%,"Boissons,Bières Bio"
,"3,20",Bière Blonde Lager bio 33cl 4.5%,"Boissons,Bières Bio"
,"2,69",Bière ambrée La Goule 33cl,"Boissons,Bières Bio"
,"2,89",Bière de Vézelay ambrée bio 25cl,"Boissons,Bières Bio"
,"2,69",Bière brune La Goule Black Prince 33cl,"Boissons,Bières Bio"
,"8,80",Bière blonde bio Jade 6x25cl,"Boissons,Bières Bio"
,"1,81",The vert glacé - Menthe citron vert 33cl,Boissons
,"0,00",Thé au Citron Bio 355ml,Boissons
,"1,69",Green t'e Fleur de Sureau Acérola 330ml,Boissons
,"1,68",Thé Vert Menthe Bio 50cl,Boissons
,"0,00",Thé à la Pêche Bio 355ml,Boissons
,"1,81",Thé vert glacé - Pêche coing 33cl,Boissons
,"1,09",Thé vert glacé Jasmin 33 cl,Boissons
,"1,09",Infusion glacée bio Rooibos-mangue 33 cl,Boissons
,"1,09",Thé vert glacé Gingembre-citron vert 33 cl,Boissons
,"1,09",Infusion glacée bio Hibiscus-litchi 33 cl,Boissons
,"1,44",Thé vert Pêche à l'Agave 25cl,Boissons
,"3,34",Boisson Détox Citron Thé Vert 50cl,Boissons
,"3,20",Bière Blonde Amber Ale bio 33cl 5.5%,"Boissons,Bières Bio"
"3,45","2,59",Tisane glacée bio Pomme Miel Camomille 1L,Boissons
"3,61","2,52",Tisane glacée bio Pêche Citron Verveine 1L,Boissons
"1,59","1,40",Ice tea bio Max Havelaar 33cl,Boissons
"1,97","1,48",Infusion Glacée Menthe Douce Citron Bio 33cl,Boissons
"2,49","2,24",Boisson Sève de bouleau Sureau 33cL,"Santé & Bien-être,Minceur, élimination,Détox"
"2,81","1,86",Thé Vert BIO 355ml,Boissons
"1,97","1,48",Infusion Glacée Orange Basilique bio 33cl,Boissons
,"1,97",Boisson énergisante MY E. BIO 250ml,"Santé & Bien-être,Sport et Nutrition,Energie et endurance"
"2,81","1,86",Thé Blanc Bio 355ml,Boissons
"2,49","1,87",Boisson Sève de bouleau Nature 33cL,"Santé & Bien-être,Minceur, élimination,Détox"
,"2,20",Eau de Coco King Coconut Mangue 33cl,Boissons
,"2,79",Eau de coco nature 500 mL,Boissons
"47,99","40,79",Semaine de Cure Wellness - 11 Jus Biotta de 500mL,"Santé & Bien-être,Minceur, élimination,Détox"
"1,95","1,36",Eau de coco et jus de fruit de la passion - 200 mL,Boissons
"1,95","1,36",Eau de coco et jus de mangue - 200 mL,Boissons
"4,59","4,13",Brottrunk BIO 750ml,"Santé & Bien-être,Résistance et vitalité,Energie, Vitalité, Tonus"
"1,95","1,36",Eau de coco et jus de citron - 200 mL,Boissons
,"3,29",Tetra Pak Eau de Coco Bio 50cL,Boissons
"1,95","1,36",Eau de coco et cocktail de fruits exotiques - 200 mL,Boissons
"1,69","1,18",Eau de coco et jus d'ananas - 200 mL,Boissons
,"2,79",Eau de coco Banane 500 mL,Boissons
"4,51","4,06",Eau de Coco Royale nature 1L,Boissons
,"2,79",Eau de coco Ananas Acerola 500 mL,Boissons
,"2,30",Eau de Coco King Coconut Goyave 33cl,Boissons
,"2,40",Eau de coco nature 330 mL,Boissons
"3,99","3,59",Eau de coco nature bio - 1 L,Boissons
"2,99","2,54",Eau de Coco Pure Bio 330 mL,Boissons
,"2,00","Eau de Coco Royale nature 0,33L",Boissons
,"6,70",Sirop Pamplemousse 70cl,Boissons
"1,90","1,71",Eau de coco nature du Sri Lanka Bio - 330 ml,Boissons
,"6,30",Sirop Sucre de canne roux 70cl,Boissons
,"7,43",Sirop de rose bio 50 cl,Boissons
,"6,90",Sirop Framboise mûre bio 70cl,Boissons
,"6,70",Sirop Châtaigne bio 70cl,Boissons
,"6,90",Sirop Myrtille bio 70cl,Boissons
,"6,70",Sirop Verveine 70cl,Boissons
,"6,70",Sirop Anis bio 70cl,Boissons
,"6,70",Sirop Orgeat 70cl,Boissons
,"6,70",Sirop Fraise bio 70cl,Boissons
,"6,70",Sirop Cassis bio 70cl,Boissons
,"6,50",Sirop Citron bio 70cl,Boissons
,"6,70",Sirop Pêche bio 70cl,Boissons
,"6,50",Sirop Grenadine 70cl,Boissons
,"4,80",Sirop Anis bio 35cl,Boissons
,"6,00",Sirop Menthe bio 70cl,Boissons
,"4,80",Sirop Pamplemousse 35cl,Boissons
,"4,80",Sirop Verveine 35cl,Boissons
,"4,80",Sirop Orgeat bio 35cl,Boissons
,"4,80",Sirop Châtaigne bio 35cl,Boissons
"5,73","4,01",Sirop de Menthe Glaciale 50cl,Boissons
,"7,07",Sirop de Framboise Bio 50 cl,Boissons
"6,71","5,37",Vin rouge Bonarda Frizzante Bio 75cl,"Boissons,Vins Bio"
,"5,73",Sirop de Fruits de la Passion 50cl,Boissons
"14,62","9,65",Bergerac rouge L'empyrée 2015 Bio 75cl,"Boissons,Vins Bio"
"8,93","7,14",Vin rouge Beaujolais-Villages 2017 Bio 75cl,"Boissons,Vins Bio"
"10,76","7,10",Bergerac blanc sec 2015 Bio 75cl,"Boissons,Vins Bio"
"6,71","5,37",Vin blanc Pinot noir Bio 75cl,"Boissons,Vins Bio"
"7,20","4,75",Vin blanc Entre-Deux-Mers Bio 75cl,"Boissons,Vins Bio"
"7,63","5,04",Vin rouge Côtes du Rhône 2016 Bio 75cl,"Boissons,Vins Bio"
,"48,99",Côtes du Rhône blanc 2014 - Caisse de 6,"Boissons,Vins Bio"
,"42,99",Côtes de Duras l'Effrontée blanc 2017 - Caisse de 6,"Boissons,Vins Bio"
"6,97","4,60",Préparation pour vin chaud bio - 75 cl,"Boissons,Vins Bio"
,"58,99",Castillon rouge 2014 - Caisse de 6,"Boissons,Vins Bio"
,"110,99",Gigondas rouge 2014 - Seigneur des Molières - Caisse de 6,"Boissons,Vins Bio"
,"68,99",Vouvray Brut Méthode Traditionnelle - Caisse de 6,"Boissons,Vins Bio"
,"49,99",Côtes du Rhône rouge 2015 - Caisse de 6,"Boissons,Vins Bio"
,"54,99",Bordeaux rouge 2014 Chapelle Bérard - Caisse de 6,"Boissons,Vins Bio"
,"71,99",Vouvray Sec blanc 2015 - Caisse de 6,"Boissons,Vins Bio"
,"9,99",Clairette de Die Tradition Biodynamie 75cl,"Boissons,Vins Bio"
,"189,99",Champagne Eclipsia Rosé Désir - Caisse de 6,"Boissons,Vins Bio"
,"125,99",Saint Emilion Grand Cru rouge 2012 - Caisse de 6,"Boissons,Vins Bio"
,"8,99",Crémant de Die Brut Cuvée Icône Bio 75cl,"Boissons,Vins Bio"
,"189,99",Champagne Eclipsia Brut - Caisse de 6,"Boissons,Vins Bio"
"8,99","8,09",Clairette de Die Brut Bio 75cl,"Boissons,Vins Bio"
,"8,99",Clairette de Die Tradition Vegan Cuvée Flore 75cl,"Boissons,Vins Bio"
"15,70","10,99",Coffret Découverte Vins rouges Bio- 2 x 75cl,"Boissons,Vins Bio"
,"45,99",Pinot Noir Ambition rouge 2016 - Caisse de 6,"Boissons,Vins Bio"
,"55,99",Beaujolais rouge 2016 - Caisse de 6,"Boissons,Vins Bio"
"5,62","4,50",Vin rouge Infinitus 2016 Bio 75cl,"Boissons,Vins Bio"
,"9,99",Chinon Les cinq arpents rouge 2017,"Boissons,Vins Bio"
,"17,03","Champagne Carte d'Or demi sec - 37,5 cL","Boissons,Vins Bio"
,"33,15",Champagne L. Briant Bio et Vegan - 75cL,"Boissons,Vins Bio"
,"8,99",Clairette de Die Tradition Bio 75cl,"Boissons,Vins Bio"
,"11,55",Blanquette Brut bio 75cl,"Boissons,Vins Bio"
,"3,90",Olives vertes dénoyautées BIO - 160g,"Epicerie,Apéritifs bio"
,"2,76",Croustilles fromage de Chèvre 100gr,"Epicerie,Apéritifs bio,Biscuits apéritif bio"
,"7,84",Vin Igp Côtes Catalanes Rouge Bio 75cl,"Boissons,Vins Bio"
,"3,04",Olives noires entières 280g,"Epicerie,Apéritifs bio"
,"3,06",Chips Pétales de Carotte au Thym 70g,"Epicerie,Apéritifs bio,Biscuits apéritif bio"
,"2,65",Flûtes olives romarin 110gr,"Epicerie,Apéritifs bio,Biscuits apéritif bio"
"2,39","2,15",Bretzels Petit Epeautre à l'Huile d'Olive 150g,"Epicerie,Apéritifs bio,Biscuits apéritif bio"
"7,99","7,19",Mélange apéritif 400g,"Epicerie,Fruits secs et purées,Fruits secs à coques bio"
,"1,80",Chips Maïs Chili bio 125gr,"Epicerie,Apéritifs bio,Biscuits apéritif bio"
,"2,55",Chips d'épinard bio - 30 g,"Epicerie,Apéritifs bio"
"1,04","0,91",Soufflettes au Maïs Bio 50g,"Epicerie,Apéritifs bio,Biscuits apéritif bio"
"2,24","2,02",Apéro Piment d'Espelette 100g,"Epicerie,Apéritifs bio,Biscuits apéritif bio"
,"2,66",ApéroPicco Sésame Cumin BIO 150g,"Epicerie,Apéritifs bio,Biscuits apéritif bio"
,"2,95",Crusty chia 200gr,"Epicerie,Apéritifs bio,Biscuits apéritif bio"
,"2,60",Pâté crème végétal Tomates séchées - 75g,"Epicerie,Apéritifs bio"
,"2,49",Pâté crème végétal Roquette Moutarde - 75g,"Epicerie,Apéritifs bio"
,"2,03",Chips au romarin 120gr,"Epicerie,Apéritifs bio,Biscuits apéritif bio"
"2,28","2,05",Gressins au Quinoa 120g,"Epicerie,Apéritifs bio,Biscuits apéritif bio"
,"2,89",Crackers basilic 100gr,"Epicerie,Apéritifs bio,Biscuits apéritif bio"
"3,06","2,76",Caviar d'artichauts - 140g,"Epicerie,Apéritifs bio"
,"1,04",Crackers de riz au piment doux 40gr,"Epicerie,Apéritifs bio,Biscuits apéritif bio"
"1,48","1,33",Sticks Quinoa Bio 100g,"Epicerie,Apéritifs bio,Biscuits apéritif bio"
,"6,79",Banane biologique en poudre - 125g,"Epicerie,Epicerie sucrée,Aides à la pâtisserie"
"2,29","2,06",Apéro Cumin 100g,"Epicerie,Apéritifs bio,Biscuits apéritif bio"
,"16,77",Camu Camu BIO en Poudre 50g,"Santé & Bien-être,Résistance et vitalité,Energie, Vitalité, Tonus"
,"10,99",Spiruline crue brindilles 50g,"Santé & Bien-être,Résistance et vitalité,Spiruline"
"15,29","13,46",Poudre de Spiruline Contrôlée par Ecocert - Pot : 200 G,"Santé & Bien-être,Résistance et vitalité,Spiruline"
,"5,31",Farine riz & souchet 500g,"Epicerie,Farines, pains et tartines"
"7,95","7,00",Poudre de Maca bio 150gr,"Santé & Bien-être,Compléments alimentaires,Féminité"
,"12,95",Poudre De Baobab 200 Gr,"Santé & Bien-être,Résistance et vitalité,Energie, Vitalité, Tonus"
,"7,29",Maca poudre 75g,"Santé & Bien-être,Compléments alimentaires,Féminité"
,"11,99",Mulberries Bio - 400g,"Epicerie,Fruits secs et purées,Fruits séchés bio"
,"8,59",Macaccino Dark Bio - 250g,"Santé & Bien-être,Résistance et vitalité,Energie, Vitalité, Tonus"
,"10,95",Poudre De Proteines De Chanvre 200 Gr,"Epicerie,Céréales, graines, pâtes, riz,Graines oléagineuses"
,"12,45",Poudre De Guarana 100 Gr,"Santé & Bien-être,Résistance et vitalité,Energie, Vitalité, Tonus"
,"5,90",Mix D'Amour 100gr,"Epicerie,Fruits secs et purées,Fruits secs à coques bio"
"16,79","15,11",Melange Sportif - Sport Formula 250 Gr,"Santé & Bien-être,Sport et Nutrition,Préparation sportive"
,"2,45",Mix de Superfruits Bio 30g,"Epicerie,Fruits secs et purées,Fruits séchés bio"
,"21,99",Baies de Goji Bio Tibet 500g,"Santé & Bien-être,Résistance et vitalité"
"6,99","6,29",Griffe du chat 50g,"Santé & Bien-être,Minceur, élimination,Détox"
,"6,90",Lucuma en poudre biologique - 125g,"Epicerie,Epicerie sucrée,Edulcorants naturels"
,"9,95","Green mix chlorelle,spiruline,herbe d'orge,herbe de blé bio 150g","Santé & Bien-être,Résistance et vitalité,Spiruline"
,"13,90",Poudre De Camu Camu 100 Gr,"Santé & Bien-être,Résistance et vitalité,Energie, Vitalité, Tonus"
"3,20","2,88",Jus D'orange 100% Pur Jus Bio 1L,"Boissons,Jus de fruits bio"
,"14,99",Lucuma de soie crue 250g,"Epicerie,Epicerie sucrée,Edulcorants naturels"
,"2,70",Jus pommes Bio 75cl,"Boissons,Jus de fruits bio"
,"4,21",Nectar abricots Bio 75cl,"Boissons,Jus de fruits bio"
,"2,09",Lot de 3 Boissons Fruit Kid'z Pomme Mangue Acérola 20cl,"Boissons,Jus de fruits bio"
"4,18","2,76",Jus Vita 7 Biotta 500ml,"Boissons,Jus de fruits bio"
"4,70","3,10",Petit-Déjeuner bio - 500 mL,"Boissons,Jus de fruits bio"
,"2,24",Citron Pamplemousse rose bio - 25 cl,"Boissons,Jus de fruits bio"
,"4,10",Jus pommes mangues Bio 75cl,"Boissons,Jus de fruits bio"
"6,91","4,56",Jus d'Açai - Grenade - Mûre - 700ml,"Boissons,Jus de fruits bio"
,"1,59",Pur jus d'Orange Bio Mini 25cl,"Boissons,Jus de fruits bio"
,"2,46",Smoothie Mangue Coco 25cl,"Boissons,Jus de fruits bio"
"20,95","14,67",Protéine de chanvre BIO goût nature - 400g,"Epicerie,Céréales, graines, pâtes, riz,Graines oléagineuses"
,"4,17",Jus Pruneau Pomme Citron - 75cl,"Boissons,Jus de fruits bio"
,"5,10",Jus Pomme abricot pêche 70cl,"Boissons,Jus de fruits bio"
"5,99","3,95",Pur Jus pomme/grenade/betterave Bio 1L,"Boissons,Jus de fruits bio"
,"1,73",Mini Nectar d'Abricots Bio 25cL,"Boissons,Jus de fruits bio"
,"3,20",Pur jus de pomme BIO - 1L,"Boissons,Jus de fruits bio"
,"1,49",Pur jus de raisin BIO - 20cl,"Boissons,Jus de fruits bio"
,"2,70",Jus pommes Bio 75cl,"Boissons,Jus de fruits bio"
"7,50","6,60",Jus de Mûre Bio 700ml,"Boissons,Jus de fruits bio"
,"3,38",Jus Bio Energy 250 ml Biotta,"Boissons,Jus de fruits bio"
"5,94","4,45",Pur Jus de Cranberry Bio 50cL,"Boissons,Jus de fruits bio"
,"4,13",Pur Jus Raisins Blancs Bio 1L,"Boissons,Jus de fruits bio"
,"4,36",Jus pommes myrtilles Bio 75cl,"Boissons,Jus de fruits bio"
,"2,29",Citron Bergamote bio - 25 cl,"Boissons,Jus de fruits bio"
,"2,69",Bière blonde Kick La goule 33cl,"Boissons,Bières Bio"
,"3,53",Nectar de Pêche du Roussillon bio - 75 cl,"Boissons,Jus de fruits bio"
,"2,69",Bière blanche La Goule notre dame 33cl,"Boissons,Bières Bio"
